fold,accuracy,balanced_accuracy,sensibilidade,especificidade,f1,auc,auc_pr,score_interno,melhores_hiperparametros,descritor,modelo
0,0.75,0.7857142857142857,1.0,0.5714285714285714,0.7692307692307693,0.9142857142857143,0.9028571428571428,0.6131779100529101,{'clf__C': 1.0},GLCM,LogReg
1,0.5833333333333334,0.6142857142857143,0.8,0.42857142857142855,0.6153846153846154,0.7714285714285715,0.8242424242424242,0.5866402116402116,{'clf__C': 1.0},GLCM,LogReg
2,0.5833333333333334,0.6142857142857143,0.42857142857142855,0.8,0.5454545454545454,0.6571428571428571,0.7440476190476191,0.6707175925925926,{'clf__C': 1.0},GLCM,LogReg
3,0.5833333333333334,0.5857142857142856,0.6,0.5714285714285714,0.5454545454545454,0.6285714285714286,0.6888888888888889,0.685433201058201,{'clf__C': 1.0},GLCM,LogReg
4,0.5,0.625,0.25,1.0,0.4,0.71875,0.8763257575757576,0.7052744708994708,{'clf__C': 0.1},GLCM,LogReg
0,0.5833333333333334,0.6142857142857143,0.8,0.42857142857142855,0.6153846153846154,0.6857142857142857,0.740909090909091,0.576058201058201,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",GLCM,RandomForest
1,0.5833333333333334,0.6142857142857143,0.8,0.42857142857142855,0.6153846153846154,0.6571428571428571,0.5775757575757575,0.6042906746031745,"{'clf__max_depth': None, 'clf__n_estimators': 100}",GLCM,RandomForest
2,0.4166666666666667,0.44285714285714284,0.2857142857142857,0.6,0.36363636363636365,0.5857142857142857,0.6996598639455782,0.6235119047619048,"{'clf__max_depth': None, 'clf__n_estimators': 300}",GLCM,RandomForest
3,0.5833333333333334,0.5571428571428572,0.4,0.7142857142857143,0.4444444444444444,0.6285714285714286,0.6997979797979798,0.6124338624338624,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",GLCM,RandomForest
4,0.4166666666666667,0.5,0.25,0.75,0.36363636363636365,0.3125,0.6719065656565657,0.7684771825396824,"{'clf__max_depth': None, 'clf__n_estimators': 100}",GLCM,RandomForest
0,0.4166666666666667,0.5,1.0,0.0,0.5882352941176471,0.2,0.32987012987012987,0.513888888888889,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",GLCM,SVM
1,0.6666666666666666,0.6857142857142857,0.8,0.5714285714285714,0.6666666666666666,0.5428571428571428,0.4976190476190476,0.6025132275132276,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",GLCM,SVM
2,0.4166666666666667,0.5,0.0,1.0,0.0,0.3428571428571428,0.604112554112554,0.5757275132275131,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",GLCM,SVM
3,0.5,0.5142857142857142,0.6,0.42857142857142855,0.5,0.4,0.42460317460317454,0.607390873015873,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",GLCM,SVM
4,0.3333333333333333,0.4375,0.125,0.75,0.2,0.8125,0.9305555555555556,0.6422784391534392,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",GLCM,SVM
0,0.5833333333333334,0.5857142857142856,0.6,0.5714285714285714,0.5454545454545454,0.6571428571428571,0.5392857142857143,0.5873842592592592,{'clf__C': 10.0},Forma,LogReg
1,0.5,0.5142857142857142,0.6,0.42857142857142855,0.5,0.6571428571428571,0.7109090909090909,0.4984292328042328,{'clf__C': 10.0},Forma,LogReg
2,0.5833333333333334,0.6428571428571428,0.2857142857142857,1.0,0.4444444444444444,0.6857142857142857,0.7881880024737167,0.5452215608465608,{'clf__C': 0.1},Forma,LogReg
3,0.3333333333333333,0.34285714285714286,0.4,0.2857142857142857,0.3333333333333333,0.48571428571428577,0.6375757575757576,0.6024305555555556,{'clf__C': 0.1},Forma,LogReg
4,0.3333333333333333,0.4375,0.125,0.75,0.2,0.5625,0.713771645021645,0.6311177248677249,{'clf__C': 0.1},Forma,LogReg
0,0.5,0.5428571428571429,0.8,0.2857142857142857,0.5714285714285714,0.6285714285714286,0.6222222222222222,0.6860119047619048,"{'clf__max_depth': None, 'clf__n_estimators': 300}",Forma,RandomForest
1,0.5833333333333334,0.6142857142857143,0.8,0.42857142857142855,0.6153846153846154,0.48571428571428577,0.43238095238095237,0.6083002645502645,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Forma,RandomForest
2,0.4166666666666667,0.44285714285714284,0.2857142857142857,0.6,0.36363636363636365,0.5142857142857142,0.7046846011131724,0.6708829365079364,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Forma,RandomForest
3,0.5,0.5142857142857142,0.6,0.42857142857142855,0.5,0.5571428571428572,0.5988455988455987,0.4723048941798942,"{'clf__max_depth': None, 'clf__n_estimators': 100}",Forma,RandomForest
4,0.3333333333333333,0.4375,0.125,0.75,0.2,0.65625,0.7918019480519481,0.7368551587301587,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Forma,RandomForest
0,0.4166666666666667,0.5,1.0,0.0,0.5882352941176471,0.37142857142857144,0.4125757575757576,0.591765873015873,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",Forma,SVM
1,0.6666666666666666,0.6857142857142857,0.8,0.5714285714285714,0.6666666666666666,0.6857142857142857,0.5449999999999999,0.5658068783068783,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Forma,SVM
2,0.5833333333333334,0.6428571428571428,0.2857142857142857,1.0,0.4444444444444444,0.5428571428571428,0.7226551226551226,0.6288029100529101,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",Forma,SVM
3,0.5833333333333334,0.5857142857142856,0.6,0.5714285714285714,0.5454545454545454,0.5142857142857142,0.6093939393939394,0.5771329365079365,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Forma,SVM
4,0.4166666666666667,0.4375,0.375,0.5,0.46153846153846156,0.40625,0.6433035714285714,0.720734126984127,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Forma,SVM
0,0.5,0.5142857142857142,0.6,0.42857142857142855,0.5,0.4571428571428572,0.5357142857142857,0.5812665343915344,{'clf__C': 10.0},Gradiente,LogReg
1,0.5,0.5142857142857142,0.6,0.42857142857142855,0.5,0.6285714285714286,0.7633333333333332,0.638723544973545,{'clf__C': 1.0},Gradiente,LogReg
2,0.5,0.5142857142857142,0.42857142857142855,0.6,0.5,0.5428571428571428,0.6927798392084106,0.5238095238095238,{'clf__C': 1.0},Gradiente,LogReg
3,0.75,0.7285714285714285,0.6,0.8571428571428571,0.6666666666666666,0.7999999999999999,0.81,0.5241402116402116,{'clf__C': 10.0},Gradiente,LogReg
4,0.4166666666666667,0.5,0.25,0.75,0.36363636363636365,0.5625,0.7719246031746032,0.6574074074074074,{'clf__C': 0.1},Gradiente,LogReg
0,0.5,0.5428571428571429,0.8,0.2857142857142857,0.5714285714285714,0.5428571428571429,0.5131313131313131,0.578207671957672,"{'clf__max_depth': None, 'clf__n_estimators': 100}",Gradiente,RandomForest
1,0.5833333333333334,0.6142857142857143,0.8,0.42857142857142855,0.6153846153846154,0.5714285714285714,0.49111111111111116,0.5916005291005292,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Gradiente,RandomForest
2,0.3333333333333333,0.37142857142857144,0.14285714285714285,0.6,0.2,0.6,0.6329931972789116,0.6335978835978836,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",Gradiente,RandomForest
3,0.6666666666666666,0.6571428571428571,0.6,0.7142857142857143,0.6,0.7857142857142857,0.7833333333333332,0.3270089285714286,"{'clf__max_depth': None, 'clf__n_estimators': 100}",Gradiente,RandomForest
4,0.5,0.5625,0.375,0.75,0.5,0.625,0.7656746031746032,0.6237599206349206,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Gradiente,RandomForest
0,0.5,0.5428571428571429,0.8,0.2857142857142857,0.5714285714285714,0.48571428571428577,0.43555555555555553,0.5296792328042328,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Gradiente,SVM
1,0.6666666666666666,0.6857142857142857,0.8,0.5714285714285714,0.6666666666666666,0.6571428571428573,0.5676190476190476,0.5768849206349206,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Gradiente,SVM
2,0.5,0.5142857142857142,0.42857142857142855,0.6,0.5,0.42857142857142855,0.6189703153988868,0.49198082010582017,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",Gradiente,SVM
3,0.5,0.5142857142857142,0.6,0.42857142857142855,0.5,0.6571428571428571,0.5392857142857143,0.5971395502645502,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Gradiente,SVM
4,0.3333333333333333,0.375,0.25,0.5,0.3333333333333333,0.53125,0.6865079365079365,0.5362103174603176,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Gradiente,SVM
0,0.5833333333333334,0.5857142857142856,0.6,0.5714285714285714,0.5454545454545454,0.7428571428571429,0.7453968253968253,0.6290509259259259,{'clf__C': 1.0},Combinado,LogReg
1,0.6666666666666666,0.6857142857142857,0.8,0.5714285714285714,0.6666666666666666,0.8,0.8509090909090908,0.5716765873015873,{'clf__C': 1.0},Combinado,LogReg
2,0.5833333333333334,0.6142857142857143,0.42857142857142855,0.8,0.5454545454545454,0.6571428571428571,0.740568954854669,0.5658895502645502,{'clf__C': 0.1},Combinado,LogReg
3,0.5833333333333334,0.5857142857142856,0.6,0.5714285714285714,0.5454545454545454,0.6285714285714286,0.6666666666666667,0.5818452380952381,{'clf__C': 10.0},Combinado,LogReg
4,0.5,0.5625,0.375,0.75,0.5,0.625,0.8333333333333333,0.6889054232804233,{'clf__C': 1.0},Combinado,LogReg
0,0.5,0.5428571428571429,0.8,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7551948051948052,0.6705935846560847,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Combinado,RandomForest
1,0.5,0.5428571428571429,0.8,0.2857142857142857,0.5714285714285714,0.6000000000000001,0.6085714285714285,0.5739914021164021,"{'clf__max_depth': None, 'clf__n_estimators': 300}",Combinado,RandomForest
2,0.5833333333333334,0.6428571428571428,0.2857142857142857,1.0,0.4444444444444444,0.5142857142857142,0.7398268398268397,0.6917989417989419,"{'clf__max_depth': None, 'clf__n_estimators': 300}",Combinado,RandomForest
3,0.5833333333333334,0.5571428571428572,0.4,0.7142857142857143,0.4444444444444444,0.7142857142857143,0.7253968253968255,0.48718584656084657,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Combinado,RandomForest
4,0.5,0.5625,0.375,0.75,0.5,0.5625,0.713771645021645,0.6416170634920636,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",Combinado,RandomForest
0,0.4166666666666667,0.5,1.0,0.0,0.5882352941176471,0.37142857142857144,0.51,0.5247189153439153,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",Combinado,SVM
1,0.6666666666666666,0.6857142857142857,0.8,0.5714285714285714,0.6666666666666666,0.31428571428571433,0.36971861471861467,0.5400132275132276,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Combinado,SVM
2,0.6666666666666666,0.6857142857142857,0.5714285714285714,0.8,0.6666666666666666,0.5857142857142856,0.6591836734693878,0.5602678571428571,"{'clf__C': 10.0, 'clf__gamma': 'scale'}",Combinado,SVM
3,0.4166666666666667,0.5,1.0,0.0,0.5882352941176471,0.45714285714285713,0.47606060606060596,0.5811011904761905,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",Combinado,SVM
4,0.3333333333333333,0.5,0.0,1.0,0.0,0.25,0.5698232323232323,0.5418320105820106,"{'clf__C': 0.1, 'clf__gamma': 'scale'}",Combinado,SVM
