descritor,modelo,n_features,auc_mean,auc_std,auc_pr_mean,auc_pr_std,balanced_accuracy_mean,balanced_accuracy_std,sensibilidade_mean,sensibilidade_std,especificidade_mean,especificidade_std,f1_mean,f1_std,accuracy_mean,accuracy_std,auc_pooled,auc_pr_pooled
GLCM,LogReg,12,0.7380357142857144,0.11300129243436437,0.8072723665223664,0.08972850663502309,0.6449999999999999,0.08000318871196092,0.6157142857142858,0.2960798292794064,0.6742857142857143,0.22551528297909848,0.575104895104895,0.13390978458408065,0.6000000000000001,0.09128709291752768,0.6244444444444445,0.6948449878757061
Combinado,LogReg,36,0.6907142857142857,0.07741025086366478,0.7673749742321171,0.07528648400960652,0.6067857142857143,0.04778913077686353,0.5607142857142857,0.1675529157962843,0.6528571428571428,0.1128933034293163,0.5606060606060606,0.06247129735784333,0.5833333333333334,0.058925565098878946,0.6288888888888889,0.6510540411660141
Gradiente,RandomForest,12,0.625,0.09496239857363092,0.6372487116058545,0.13657723329230667,0.5496428571428572,0.10920924028334464,0.5435714285714286,0.28446602322131015,0.5557142857142857,0.19616215699449957,0.49736263736263736,0.17203260728374822,0.5166666666666667,0.12360330811826105,0.5633333333333332,0.5135016327647628
Combinado,RandomForest,36,0.6210714285714286,0.09035431954934137,0.7085523088023088,0.05801028870412436,0.5696428571428571,0.0418406232637856,0.5321428571428571,0.24818216647273844,0.6071428571428571,0.31339158526400435,0.5063492063492063,0.06359119245717501,0.5333333333333334,0.04564354645876387,0.5516666666666666,0.6258608391262872
Forma,LogReg,12,0.6096428571428572,0.08348667863919416,0.6779460420531849,0.09404755794365886,0.5046428571428571,0.11879765424056662,0.40214285714285714,0.20534316722630586,0.6071428571428571,0.2789374884252377,0.40464646464646464,0.13916611451001096,0.4666666666666668,0.1263812574008592,0.5577777777777777,0.5477172440276389
Gradiente,LogReg,12,0.5982142857142857,0.12833559720593532,0.7147504122861266,0.1086718834152899,0.5542857142857143,0.0976248546472565,0.4957142857142857,0.1561331195499794,0.6128571428571428,0.19142324086394824,0.5060606060606061,0.10745832258483116,0.5333333333333333,0.12638125740085918,0.5777777777777777,0.627060662381464
GLCM,RandomForest,12,0.5739285714285715,0.15074009596193128,0.6779698515769944,0.061286232573813194,0.5457142857142857,0.07450517034517315,0.5071428571428571,0.2730216407659485,0.5842857142857143,0.15256313514110031,0.4804972804972805,0.1274773911254629,0.5166666666666667,0.09128709291752769,0.52,0.6241439751709434
Forma,RandomForest,12,0.5683928571428571,0.07285298482532601,0.6299870645227788,0.13401682517553107,0.5103571428571428,0.07371778092488812,0.5221428571428571,0.3058152370037724,0.49857142857142855,0.17931274696599178,0.4500899100899101,0.16923032103610297,0.4666666666666667,0.09501461875826152,0.5161111111111112,0.5572459977211646
Gradiente,SVM,12,0.5519642857142857,0.10267546579154248,0.5695877138734282,0.09353566977830897,0.5264285714285715,0.11052980021104662,0.5757142857142857,0.23923773506190663,0.47714285714285715,0.12600615469257112,0.5142857142857143,0.12210363242817222,0.5,0.11785113019775792,0.49777777777777776,0.515105638627879
Forma,SVM,12,0.5041071428571429,0.12426377577310192,0.5865856782106782,0.11646979330744235,0.5703571428571428,0.10173557662401293,0.6121428571428572,0.29523857526842695,0.5285714285714286,0.3557114170853924,0.541267882444353,0.09176039409107137,0.5333333333333333,0.11180339887498947,0.5177777777777778,0.5406877431016802
GLCM,SVM,12,0.45964285714285713,0.23240232752004594,0.5573520923520924,0.23151982678722366,0.5275000000000001,0.09329908567480767,0.505,0.43026154836331815,0.55,0.3742339113551353,0.39098039215686275,0.2811302502553079,0.4666666666666667,0.12638125740085918,0.4955555555555556,0.5123698102862666
Combinado,SVM,36,0.3957142857142857,0.1306967201312306,0.5169572253143682,0.10773036033598393,0.5742857142857143,0.1017199035366737,0.6742857142857143,0.4163005193955198,0.4742857142857143,0.45874718483260113,0.5019607843137255,0.283331637148054,0.5,0.15590239111558088,0.49944444444444447,0.48724981430482667
